iteration,ratio,objective,residual,left_bc,right_bc
226,8.2331960673e-02,5.4272934049e-01,4.6158507466e-01,3.7993860897e-03,4.3150405400e-03
227,8.2266371021e-02,5.4229697585e-01,4.6128839254e-01,3.7940966431e-03,4.3067615479e-03
228,8.2201000637e-02,5.4186605662e-01,4.6099159122e-01,3.7889620289e-03,4.2984844185e-03
229,8.2135872128e-02,5.4143673182e-01,4.6069496870e-01,3.7838949356e-03,4.2902813293e-03
230,8.2070971929e-02,5.4100891203e-01,4.6039858460e-01,3.7787999026e-03,4.2822328396e-03
231,8.2006296650e-02,5.4058257490e-01,4.6010246873e-01,3.7736606319e-03,4.2743501253e-03
232,8.1941863246e-02,5.4015783221e-01,4.5980700850e-01,3.7684962153e-03,4.2665861547e-03
233,8.1877649675e-02,5.3973453864e-01,4.5951232314e-01,3.7633732427e-03,4.2588482611e-03
234,8.1813658764e-02,5.3931271285e-01,4.5921871066e-01,3.7583375815e-03,4.2510624044e-03
235,8.1749888818e-02,5.3889234364e-01,4.5892626047e-01,3.7533831783e-03,4.2432253249e-03
236,8.1686345487e-02,5.3847346827e-01,4.5863500237e-01,3.7484546192e-03,4.2353919707e-03
237,8.1623017469e-02,5.3805601224e-01,4.5834484696e-01,3.7434892729e-03,4.2276275344e-03
238,8.1559916066e-02,5.3764005005e-01,4.5805588365e-01,3.7384636234e-03,4.2199529707e-03
239,8.1497016413e-02,5.3722541779e-01,4.5776808262e-01,3.7333876826e-03,4.2123459280e-03
240,8.1434333204e-02,5.3681221232e-01,4.5748159289e-01,3.7283040583e-03,4.2047579773e-03
241,8.1371868133e-02,5.3640044481e-01,4.5719641447e-01,3.7232623436e-03,4.1971406899e-03
242,8.1309604247e-02,5.3599000350e-01,4.5691254735e-01,3.7182688247e-03,4.1894768365e-03
243,8.1247551153e-02,5.3558095172e-01,4.5662996173e-01,3.7132932339e-03,4.1818055324e-03
244,8.1185709982e-02,5.3517329693e-01,4.5634856820e-01,3.7083004136e-03,4.1741724126e-03
245,8.1124073951e-02,5.3476699442e-01,4.5606818795e-01,3.7032724358e-03,4.1666082107e-03
246,8.1062630628e-02,5.3436196223e-01,4.5578876138e-01,3.6982044112e-03,4.1591157205e-03
247,8.1001397532e-02,5.3395831585e-01,4.5551034808e-01,3.6931356881e-03,4.1516609490e-03
248,8.0940373532e-02,5.3355604783e-01,4.5523294806e-01,3.6881079432e-03,4.1442019865e-03
249,8.0879537720e-02,5.3315502033e-01,4.5495641232e-01,3.6831267644e-03,4.1367341764e-03
250,8.0818900266e-02,5.3275530040e-01,4.5468065143e-01,3.6781781819e-03,4.1292868555e-03
251,8.0758467389e-02,5.3235692903e-01,4.5440569520e-01,3.6732428707e-03,4.1218805127e-03
252,8.0698221003e-02,5.3195978701e-01,4.5413124561e-01,3.6682994105e-03,4.1145547293e-03
253,8.0638174671e-02,5.3156396374e-01,4.5385733247e-01,3.6633515265e-03,4.1073118336e-03
254,8.0578315396e-02,5.3116937354e-01,4.5358395576e-01,3.6584164482e-03,4.1001252830e-03
255,8.0518643743e-02,5.3077602014e-01,4.5331102610e-01,3.6535281688e-03,4.0929713286e-03
256,8.0459165363e-02,5.3038394079e-01,4.5303860307e-01,3.6486978643e-03,4.0858360007e-03
257,8.0399883647e-02,5.2999315783e-01,4.5276659727e-01,3.6439218093e-03,4.0787342004e-03
258,8.0340781076e-02,5.2960355580e-01,4.5249491930e-01,3.6391676404e-03,4.0716961958e-03
259,8.0281871778e-02,5.2921522781e-01,4.5222353935e-01,3.6344246473e-03,4.0647443384e-03
260,8.0223136539e-02,5.2882804722e-01,4.5195239782e-01,3.6296923645e-03,4.0578725748e-03
261,8.0164597964e-02,5.2844216302e-01,4.5168158412e-01,3.6249931436e-03,4.0510646068e-03
262,8.0106226665e-02,5.2805738151e-01,4.5141100883e-01,3.6203346681e-03,4.0443027392e-03
263,8.0048037338e-02,5.2767379954e-01,4.5114079118e-01,3.6157325376e-03,4.0375683457e-03
264,7.9990034502e-02,5.2729144692e-01,4.5087087154e-01,3.6111737136e-03,4.0308837779e-03
265,7.9932209681e-02,5.2691026777e-01,4.5060124993e-01,3.6066421308e-03,4.0242597461e-03
266,7.9874557788e-02,5.2653022856e-01,4.5033186674e-01,3.6021298729e-03,4.0177060291e-03
